species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Gentoo,BISCOE,40.5,19.5,188.0,4575.0,FEMALE
Chinstrap,BISCOE,46.5,15.9,228.0,4700.0,MALE
Chinstrap,TORGERSEN,35.5,18.1,185.0,3425.0,MALE
Adelie,TORGERSEN,41.1,18.4,185.0,3050.0,MALE
Adelie,DREAM,35.0,15.9,216.0,3750.0,MALE
Gentoo,TORGERSEN,50.8,15.0,190.0,4100.0,MALE
Gentoo,BISCOE,50.5,19.5,187.0,3725.0,MALE
Chinstrap,TORGERSEN,50.8,17.8,187.0,3950.0,FEMALE
Gentoo,TORGERSEN,45.5,15.8,191.0,3250.0,FEMALE
Gentoo,BISCOE,32.1,19.3,222.0,3550.0,MALE
Gentoo,BISCOE,39.2,15.7,187.0,5500.0,MALE
Adelie,DREAM,41.1,16.5,192.0,3200.0,MALE
Gentoo,BISCOE,38.6,16.2,219.0,4875.0,MALE
Chinstrap,DREAM,45.2,19.0,181.0,4750.0,FEMALE
Chinstrap,BISCOE,49.9,18.6,185.0,2900.0,FEMALE
Gentoo,BISCOE,41.5,15.7,230.0,4450.0,FEMALE
Chinstrap,BISCOE,44.1,18.8,181.0,3300.0,FEMALE
Gentoo,BISCOE,48.1,16.8,221.0,4200.0,MALE
Chinstrap,BISCOE,42.0,19.0,214.0,4075.0,MALE
Adelie,BISCOE,41.5,16.1,197.0,3300.0,MALE
Chinstrap,TORGERSEN,50.5,19.6,197.0,3800.0,MALE
Adelie,TORGERSEN,42.5,18.3,230.0,4300.0,MALE
Gentoo,DREAM,36.3,14.8,217.0,4725.0,FEMALE
Chinstrap,TORGERSEN,41.1,18.6,196.0,3900.0,MALE
Chinstrap,TORGERSEN,49.9,17.8,199.0,3525.0,FEMALE
Adelie,BISCOE,38.6,18.9,208.0,3300.0,FEMALE
Chinstrap,BISCOE,49.5,19.9,185.0,5500.0,FEMALE
Adelie,DREAM,47.0,14.6,198.0,3450.0,MALE
Gentoo,TORGERSEN,36.0,14.8,182.0,4700.0,MALE
Gentoo,BISCOE,43.4,16.2,196.0,6000.0,MALE
Adelie,BISCOE,39.6,15.3,180.0,3550.0,FEMALE
Chinstrap,DREAM,41.3,20.8,191.0,3950.0,MALE
Gentoo,TORGERSEN,44.5,19.4,228.0,4250.0,FEMALE
Gentoo,TORGERSEN,49.4,16.5,213.0,4050.0,MALE
Adelie,BISCOE,50.2,17.5,212.0,4650.0,MALE
Adelie,DREAM,35.9,14.2,186.0,3450.0,FEMALE
Chinstrap,TORGERSEN,49.5,17.9,230.0,3450.0,FEMALE
Adelie,BISCOE,38.6,17.9,191.0,5400.0,FEMALE
Gentoo,TORGERSEN,34.1,14.8,189.0,3675.0,FEMALE
Chinstrap,TORGERSEN,34.6,17.9,180.0,3175.0,FEMALE
Adelie,DREAM,39.6,15.6,195.0,3500.0,FEMALE
Chinstrap,BISCOE,52.7,17.8,214.0,3750.0,FEMALE
Chinstrap,DREAM,45.6,16.0,205.0,3875.0,MALE
Adelie,TORGERSEN,41.1,18.1,196.0,4850.0,MALE
Gentoo,DREAM,38.1,18.5,197.0,4500.0,MALE
Gentoo,TORGERSEN,46.1,13.8,188.0,5500.0,MALE
Gentoo,TORGERSEN,48.1,18.9,198.0,4625.0,MALE
Chinstrap,DREAM,47.0,14.6,213.0,3075.0,MALE
Adelie,TORGERSEN,38.9,14.5,187.0,3600.0,MALE
Adelie,TORGERSEN,37.8,17.7,210.0,4850.0,MALE
Gentoo,BISCOE,37.3,15.0,206.0,4100.0,FEMALE
Adelie,DREAM,38.9,14.2,196.0,3400.0,MALE
Adelie,DREAM,45.8,19.8,215.0,4600.0,FEMALE
Adelie,TORGERSEN,40.8,17.9,181.0,4800.0,MALE
Gentoo,DREAM,43.8,20.7,187.0,3950.0,MALE
Gentoo,DREAM,37.8,18.4,190.0,5350.0,MALE
Chinstrap,BISCOE,44.4,18.1,209.0,3300.0,MALE
Gentoo,DREAM,48.6,18.9,217.0,4050.0,MALE
Gentoo,TORGERSEN,46.8,15.6,190.0,4850.0,FEMALE
Chinstrap,DREAM,35.7,13.8,191.0,3900.0,FEMALE
Chinstrap,BISCOE,37.8,14.4,216.0,4250.0,FEMALE
Chinstrap,TORGERSEN,51.9,18.1,190.0,4275.0,FEMALE
Chinstrap,BISCOE,42.5,13.9,190.0,5050.0,FEMALE
Adelie,DREAM,37.3,18.6,206.0,2975.0,MALE
Chinstrap,BISCOE,48.4,13.5,208.0,3200.0,MALE
Adelie,TORGERSEN,37.8,19.0,192.0,5650.0,MALE
Adelie,TORGERSEN,37.3,17.5,221.0,4300.0,MALE
Chinstrap,TORGERSEN,40.2,15.9,213.0,3150.0,FEMALE
Adelie,TORGERSEN,46.1,16.1,187.0,5300.0,MALE
Chinstrap,BISCOE,49.1,21.5,205.0,4675.0,MALE
Gentoo,DREAM,45.3,16.1,213.0,4850.0,FEMALE
Chinstrap,BISCOE,48.5,17.6,216.0,4250.0,FEMALE
Adelie,DREAM,42.1,16.5,201.0,3950.0,MALE
Gentoo,TORGERSEN,58.0,14.2,205.0,3450.0,FEMALE
Gentoo,DREAM,36.7,19.3,210.0,4450.0,MALE
Gentoo,TORGERSEN,45.2,17.8,217.0,3475.0,FEMALE
Adelie,TORGERSEN,52.0,19.2,208.0,5000.0,FEMALE
Adelie,TORGERSEN,38.2,16.6,195.0,4450.0,FEMALE
Adelie,TORGERSEN,49.8,16.8,198.0,4275.0,FEMALE
Gentoo,DREAM,50.5,14.5,219.0,3275.0,MALE
Adelie,BISCOE,43.2,16.8,186.0,3900.0,MALE
Adelie,TORGERSEN,49.0,17.1,210.0,5150.0,MALE
Gentoo,BISCOE,59.6,18.7,200.0,3475.0,FEMALE
Gentoo,BISCOE,41.8,13.7,192.0,3325.0,FEMALE
Adelie,DREAM,45.5,19.5,215.0,4625.0,MALE
Chinstrap,BISCOE,49.5,18.6,208.0,5750.0,FEMALE
Gentoo,BISCOE,43.2,18.2,215.0,5800.0,MALE
Gentoo,BISCOE,41.1,18.9,190.0,3750.0,FEMALE
Adelie,TORGERSEN,46.3,16.9,214.0,3950.0,MALE
Chinstrap,DREAM,39.6,18.9,219.0,3650.0,FEMALE
Chinstrap,DREAM,51.1,16.3,210.0,3800.0,MALE
Adelie,BISCOE,38.8,18.5,195.0,4350.0,FEMALE
Chinstrap,DREAM,43.1,16.1,213.0,3600.0,MALE
Adelie,BISCOE,51.7,19.5,190.0,4075.0,MALE
Chinstrap,DREAM,45.7,18.9,216.0,4250.0,FEMALE
Gentoo,TORGERSEN,51.3,14.4,196.0,3850.0,MALE
Chinstrap,BISCOE,42.4,15.0,212.0,3800.0,MALE
Adelie,DREAM,42.7,18.8,187.0,3950.0,MALE
Gentoo,TORGERSEN,44.5,16.3,191.0,4000.0,FEMALE
Chinstrap,BISCOE,44.1,13.9,178.0,3150.0,FEMALE
Adelie,TORGERSEN,48.8,14.4,193.0,3350.0,FEMALE
Gentoo,DREAM,39.2,20.1,196.0,3250.0,MALE
Chinstrap,DREAM,35.3,18.7,193.0,3950.0,FEMALE
Adelie,DREAM,55.8,13.8,187.0,4500.0,MALE
Adelie,DREAM,45.8,17.3,195.0,5550.0,FEMALE
Adelie,DREAM,34.5,17.7,230.0,3200.0,MALE
Adelie,BISCOE,45.4,18.8,216.0,4600.0,MALE
Adelie,TORGERSEN,39.6,15.0,210.0,5250.0,MALE
Gentoo,TORGERSEN,46.1,18.6,187.0,4150.0,MALE
Adelie,DREAM,33.1,18.5,225.0,5550.0,FEMALE
Chinstrap,TORGERSEN,46.5,15.6,187.0,4100.0,FEMALE
Adelie,TORGERSEN,36.5,17.6,196.0,6000.0,MALE
Gentoo,DREAM,45.2,13.7,178.0,4375.0,MALE
Adelie,BISCOE,41.1,18.1,184.0,4900.0,MALE
Chinstrap,DREAM,36.4,15.5,195.0,4050.0,MALE
Gentoo,TORGERSEN,51.5,16.3,187.0,3300.0,MALE
Gentoo,BISCOE,51.9,14.5,196.0,4600.0,MALE
Gentoo,DREAM,45.5,18.5,210.0,3900.0,MALE
Chinstrap,BISCOE,40.3,19.8,188.0,3450.0,MALE
Gentoo,BISCOE,50.0,14.3,201.0,3500.0,FEMALE
Gentoo,BISCOE,39.7,18.9,219.0,3875.0,MALE
Gentoo,TORGERSEN,44.5,18.6,222.0,3400.0,FEMALE
Gentoo,TORGERSEN,40.6,18.9,231.0,3050.0,FEMALE
Chinstrap,TORGERSEN,41.5,15.9,208.0,4400.0,MALE
Chinstrap,BISCOE,45.7,19.5,210.0,5200.0,MALE
Gentoo,BISCOE,40.9,14.2,185.0,3550.0,FEMALE
Adelie,TORGERSEN,39.5,17.0,190.0,5050.0,MALE
Gentoo,BISCOE,49.1,15.8,180.0,3600.0,FEMALE
Gentoo,TORGERSEN,37.9,18.7,191.0,5400.0,MALE
Chinstrap,DREAM,36.8,16.8,224.0,5950.0,FEMALE
Gentoo,DREAM,41.3,18.6,214.0,3950.0,MALE
Chinstrap,BISCOE,41.7,19.8,221.0,3350.0,MALE
Chinstrap,TORGERSEN,36.6,14.8,216.0,3650.0,MALE
Adelie,DREAM,41.8,14.6,220.0,3650.0,MALE
Gentoo,DREAM,40.3,17.5,195.0,3900.0,FEMALE
Chinstrap,TORGERSEN,44.5,14.8,194.0,3600.0,FEMALE
Gentoo,TORGERSEN,50.7,17.5,199.0,3350.0,FEMALE
Adelie,BISCOE,37.2,20.0,187.0,4450.0,MALE
Adelie,DREAM,42.8,18.4,230.0,5350.0,FEMALE
Chinstrap,DREAM,39.7,18.7,195.0,5800.0,FEMALE
Gentoo,DREAM,47.0,17.0,181.0,5500.0,FEMALE
Chinstrap,BISCOE,59.6,16.6,189.0,4975.0,MALE
Chinstrap,DREAM,40.2,15.0,224.0,4050.0,MALE
Chinstrap,DREAM,44.5,19.2,209.0,3250.0,FEMALE
Chinstrap,DREAM,36.4,18.4,218.0,5300.0,FEMALE
Adelie,TORGERSEN,38.6,17.2,220.0,5000.0,FEMALE
Gentoo,DREAM,50.0,16.6,190.0,4750.0,MALE
Gentoo,DREAM,50.5,18.1,184.0,3950.0,MALE
Chinstrap,BISCOE,46.8,14.0,180.0,3500.0,FEMALE
Gentoo,DREAM,50.8,16.1,202.0,3625.0,MALE
Chinstrap,TORGERSEN,46.7,19.2,187.0,3500.0,MALE
Gentoo,DREAM,50.7,17.3,226.0,2900.0,MALE
Chinstrap,TORGERSEN,34.4,14.2,195.0,4100.0,FEMALE
Chinstrap,DREAM,43.1,17.1,212.0,5700.0,MALE
Gentoo,BISCOE,49.6,17.8,191.0,4750.0,FEMALE
Gentoo,BISCOE,41.3,19.0,216.0,5800.0,FEMALE
Chinstrap,DREAM,50.4,17.5,186.0,3425.0,FEMALE
Adelie,DREAM,49.6,18.0,199.0,3650.0,MALE
Gentoo,BISCOE,39.0,18.1,203.0,5350.0,FEMALE
Chinstrap,DREAM,43.4,18.5,187.0,3325.0,MALE
Gentoo,BISCOE,42.0,17.4,218.0,4050.0,MALE
Adelie,TORGERSEN,43.8,14.3,209.0,3325.0,MALE
Gentoo,BISCOE,58.0,17.0,219.0,4100.0,FEMALE
Adelie,DREAM,49.3,17.3,191.0,5150.0,MALE
Chinstrap,DREAM,48.2,18.7,225.0,3700.0,FEMALE
Chinstrap,DREAM,39.7,13.5,189.0,4075.0,MALE
Chinstrap,DREAM,41.1,18.4,191.0,3400.0,MALE
Chinstrap,BISCOE,41.3,20.0,186.0,5750.0,MALE
Adelie,BISCOE,52.2,18.7,191.0,5650.0,MALE
Adelie,DREAM,49.8,15.0,194.0,3975.0,FEMALE
Adelie,BISCOE,51.1,18.8,184.0,3850.0,MALE
Adelie,TORGERSEN,50.5,20.2,199.0,4725.0,FEMALE
Chinstrap,DREAM,40.3,16.5,191.0,3250.0,MALE
Adelie,DREAM,46.8,19.4,197.0,3075.0,MALE
Gentoo,DREAM,40.9,18.6,193.0,6300.0,MALE
Chinstrap,TORGERSEN,52.0,13.5,190.0,3950.0,MALE
Adelie,DREAM,39.5,16.1,225.0,5400.0,FEMALE
Gentoo,DREAM,49.7,19.8,197.0,4575.0,MALE
Gentoo,TORGERSEN,41.6,15.8,191.0,4300.0,FEMALE
Chinstrap,DREAM,40.2,17.6,180.0,3500.0,FEMALE
Gentoo,BISCOE,40.8,16.3,198.0,3350.0,FEMALE
Chinstrap,TORGERSEN,45.9,19.0,213.0,3400.0,MALE
Gentoo,BISCOE,34.6,15.9,184.0,5400.0,MALE
Chinstrap,DREAM,51.3,14.2,185.0,4150.0,MALE
Chinstrap,DREAM,50.6,14.8,209.0,5400.0,FEMALE
Chinstrap,TORGERSEN,45.2,14.6,184.0,3900.0,FEMALE
Chinstrap,BISCOE,46.4,15.7,222.0,3700.0,MALE
Adelie,TORGERSEN,49.5,20.7,185.0,3950.0,MALE
Adelie,DREAM,45.4,14.7,210.0,3700.0,MALE
Gentoo,DREAM,47.6,15.8,189.0,4925.0,FEMALE
Gentoo,BISCOE,38.1,15.9,187.0,4700.0,FEMALE
Gentoo,TORGERSEN,44.1,18.6,228.0,4400.0,MALE
Gentoo,DREAM,37.6,20.3,222.0,5050.0,FEMALE
Gentoo,TORGERSEN,36.2,15.0,200.0,3900.0,FEMALE
Gentoo,TORGERSEN,33.1,18.8,195.0,3400.0,FEMALE
Adelie,DREAM,50.1,16.8,202.0,5450.0,MALE
Chinstrap,BISCOE,51.4,17.0,217.0,4400.0,MALE
Adelie,BISCOE,49.4,17.6,197.0,3800.0,FEMALE
Adelie,TORGERSEN,36.6,14.2,221.0,4350.0,FEMALE
Gentoo,BISCOE,49.5,19.0,222.0,3325.0,FEMALE
Adelie,BISCOE,49.0,16.4,195.0,4000.0,MALE
Gentoo,DREAM,39.5,16.1,191.0,4450.0,MALE
Chinstrap,BISCOE,45.2,14.2,191.0,4150.0,MALE
Gentoo,BISCOE,49.0,17.8,189.0,3500.0,FEMALE
Chinstrap,BISCOE,50.8,17.5,190.0,4850.0,MALE
Gentoo,DREAM,45.2,16.0,193.0,4000.0,MALE
Gentoo,DREAM,40.5,13.1,225.0,3550.0,FEMALE
Adelie,DREAM,46.2,17.0,190.0,3675.0,FEMALE
Chinstrap,BISCOE,50.0,18.3,187.0,5650.0,FEMALE
Adelie,TORGERSEN,46.5,16.6,191.0,2900.0,FEMALE
Chinstrap,TORGERSEN,46.7,17.5,184.0,3750.0,FEMALE
Adelie,BISCOE,40.5,14.0,195.0,3700.0,MALE
Adelie,TORGERSEN,36.3,16.7,199.0,5550.0,FEMALE
Adelie,BISCOE,47.5,20.3,188.0,3800.0,MALE
Adelie,BISCOE,36.6,18.9,230.0,3900.0,FEMALE
Gentoo,BISCOE,46.5,17.8,215.0,5550.0,FEMALE
Adelie,BISCOE,34.5,18.9,228.0,3800.0,MALE
Adelie,BISCOE,41.0,17.1,203.0,3700.0,FEMALE
Gentoo,BISCOE,43.1,20.8,199.0,4700.0,MALE
Adelie,BISCOE,41.5,18.0,211.0,5100.0,MALE
Chinstrap,DREAM,48.6,13.7,181.0,5000.0,MALE
Chinstrap,BISCOE,34.1,18.5,221.0,3900.0,FEMALE
Gentoo,DREAM,44.5,21.2,203.0,3600.0,MALE
Chinstrap,TORGERSEN,48.5,15.8,193.0,5950.0,FEMALE
Adelie,TORGERSEN,48.4,18.7,228.0,3450.0,MALE
Chinstrap,TORGERSEN,34.6,14.7,198.0,4100.0,FEMALE
Gentoo,BISCOE,42.5,17.3,183.0,3950.0,FEMALE
Adelie,TORGERSEN,39.0,13.2,184.0,3350.0,FEMALE
Gentoo,BISCOE,51.1,17.7,187.0,4750.0,FEMALE
Chinstrap,DREAM,45.3,18.5,191.0,5950.0,FEMALE
Chinstrap,DREAM,39.7,20.0,189.0,3800.0,FEMALE
Chinstrap,BISCOE,35.6,20.3,196.0,4875.0,MALE
Gentoo,BISCOE,36.5,14.5,219.0,6000.0,FEMALE
Gentoo,BISCOE,39.6,15.3,196.0,3650.0,FEMALE
Adelie,TORGERSEN,45.7,18.0,222.0,3700.0,FEMALE
Chinstrap,DREAM,51.0,17.9,210.0,4050.0,MALE
Adelie,BISCOE,42.5,14.5,192.0,4950.0,MALE
Chinstrap,TORGERSEN,49.1,13.8,217.0,3325.0,FEMALE
Adelie,BISCOE,43.2,17.8,208.0,4750.0,FEMALE
Adelie,DREAM,46.4,19.8,214.0,3800.0,FEMALE
Chinstrap,DREAM,48.2,15.1,230.0,4450.0,MALE
Gentoo,DREAM,41.7,17.1,196.0,5500.0,FEMALE
Gentoo,BISCOE,45.5,17.9,188.0,4550.0,MALE
Adelie,DREAM,45.7,19.1,197.0,5800.0,MALE
Chinstrap,BISCOE,39.7,16.3,184.0,3150.0,MALE
Chinstrap,TORGERSEN,44.4,17.0,190.0,3450.0,MALE
Chinstrap,TORGERSEN,47.0,17.2,186.0,3700.0,MALE
Chinstrap,TORGERSEN,35.7,14.6,188.0,3950.0,MALE
Chinstrap,DREAM,49.5,14.2,207.0,4300.0,MALE
Chinstrap,TORGERSEN,35.9,18.4,205.0,3400.0,FEMALE
Gentoo,BISCOE,46.1,16.6,225.0,3750.0,MALE
Chinstrap,DREAM,49.6,16.6,195.0,3475.0,MALE
Gentoo,BISCOE,45.5,21.2,203.0,5600.0,FEMALE
Gentoo,TORGERSEN,41.3,19.0,198.0,4475.0,MALE
Gentoo,BISCOE,45.1,16.0,178.0,5000.0,FEMALE
Adelie,BISCOE,49.7,18.0,187.0,3525.0,FEMALE
Gentoo,DREAM,37.7,14.5,215.0,3050.0,FEMALE
Chinstrap,DREAM,46.4,17.8,181.0,4950.0,FEMALE
Chinstrap,TORGERSEN,49.4,18.6,215.0,3825.0,FEMALE
Gentoo,DREAM,42.7,13.7,188.0,3950.0,FEMALE
Adelie,BISCOE,54.2,18.9,192.0,5250.0,MALE
Gentoo,BISCOE,45.9,16.7,212.0,5400.0,FEMALE
Adelie,DREAM,37.6,16.8,196.0,5850.0,MALE
Chinstrap,BISCOE,43.3,15.0,180.0,2900.0,FEMALE
Chinstrap,BISCOE,45.6,20.0,190.0,6000.0,MALE
Adelie,DREAM,46.5,18.7,190.0,3800.0,FEMALE
Gentoo,DREAM,46.7,15.8,196.0,3300.0,FEMALE
Chinstrap,TORGERSEN,49.3,13.7,203.0,3500.0,FEMALE
Gentoo,BISCOE,40.5,17.3,200.0,3500.0,FEMALE
Chinstrap,DREAM,40.2,17.4,190.0,5100.0,MALE
Gentoo,DREAM,36.6,14.8,181.0,3800.0,MALE
Adelie,DREAM,36.2,13.8,190.0,3750.0,FEMALE
Chinstrap,DREAM,47.0,16.6,190.0,3250.0,MALE
Gentoo,BISCOE,50.2,18.2,209.0,3950.0,FEMALE
Gentoo,DREAM,36.6,18.0,196.0,4675.0,MALE
Gentoo,BISCOE,50.4,14.2,205.0,5100.0,MALE
Chinstrap,DREAM,46.2,13.7,210.0,3500.0,FEMALE
